book_title,year,editor,song_no,song_title,book_path,song_path,no_parts,voices,text,languages,complete,lyrics,tags,done,notes,time,time_sig,key,key_sig
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-1,Oft have I sigh'd,campion_ayres3-4,1_oft_have_i_sighd,3,SBC,S-,English,SBC,Y,,Y,,duple,"IT,mP/IT,mP",d,1F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-2,Now let her change,campion_ayres3-4,2_now_let_her_change,3,SBC,S-,English,SBC,Y,,Y,,duple,"IT,mP,cut/IT,mP,cut",g,2F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-3,Were my heart as,campion_ayres3-4,3_were_my_heart_as,3,SBC,S-,English,SBC,Y,,Y,,duple,"IT,mP,cut/IT,mP,cut",c,2F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-4,Maids are simple some men say,campion_ayres3-4,4_maids_are_simple,3,SBC,S-,English,SBC,Y,,Y,,duple,"IT,mP,cut/IT,mP,cut",g,1F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-5,So tyr'd are all my thoughts,campion_ayres3-4,5_so_tyrd,3,SBC,S-,English,SB,Y,,,,duple,"IT,mP,cut/IT,mP,cut",d,1F/1F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-6,Why presumes thy pride,campion_ayres3-4,6_why_presumes,3,SBC,S-,English,SB,Y,,,,,"IT,mP/IT,mP",,1F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-7,Kind are her answeres,campion_ayres3-4,7_kinde_are,3,SBC,S-,English,SBC,Y,,,,,"IT,mP/IT,mP",,0/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-8,"O griefe, o spight",campion_ayres3-4,8_o_griefe,3,SBC,S-,English,SB,Y,,,,,"IT,mP/IT,mP, cut",,1F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-9,O never to be mov'd,campion_ayres3-4,9_o_never,3,SBC,S-,English,SB,Y,hemiola,,,,"IT,mP,cut/IT,mP,cut",,1F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-10,Breake now my heart and dye,campion_ayres3-4,10_breake_now,3,SBC,S-,English,SB,Y,"hemiola, SC",,,,"IT,mP,cut/IT,mP,cut",,1F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-11,If Love loves truth,campion_ayres3-4,11_if_love_loves_truth,3,SBC,S-,English,SB,Y,,,,,"IT,mP,cut/IT,mP,cut",,0/0
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-12,Now winter nights enlarge,campion_ayres3-4,12_now_winter,3,SBC,S-,English,SB,Y,,,,,"IT,mP/IT,mP",,0/0
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-13,Awake thou spring,campion_ayres3-4,13_awake_thou,3,SBC,S-,English,SB,Y,,,,,"IT,mP,cut/IT,mP,cut",,3F/3F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-14,What is it all that men possesse?,campion_ayres3-4,14_what_is_it,3,SBC,S-,English,SB,Y,,,,,"IT,mP/IT,mP",,0/0
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-15,Fire that must flame,campion_ayres3-4,15_fire_that,3,SBC,S-,English,SB,Y,hemiola,,,,"IT,mP,cut/IT,mP,cut",,0/0
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-16,If thou long'st so much,campion_ayres3-4,16_if_thou_longst,3,SBC,S-,English,SB,Y,,,,,"IT,mP,cut/IT,mP",,2F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-17,Shall I come sweet love?,campion_ayres3-4,17_shall_i_come,3,SBC,S-,English,SB,Y,SC,,,,"IT,mP/IT,mP",,3F/3F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-18,Thrice tosse these Oaken,campion_ayres3-4,18_thrice_tosse,3,SBC,S-,English,SB,Y,,,,,"IT,mP/IT,mP",,1F/0
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-19,Be thou then my beauty,campion_ayres3-4,19_be_thou,3,SBC,S-,English,SBC,Y,,Y,,,"IT,mP/IT,mP",,1F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-20,"Fire, fire, fire, fire, loe here",campion_ayres3-4,20_fire_fire,3,SBC,S-,English,SB,Y,"hemiola, ties",,,,"IT,mP/IT,mP, cut",,0/0
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-21,O sweet delight,campion_ayres3-4,21_o_sweet,3,SBC,S-,English,SB,Y,,,,,"IT,mP/IT,mP, cut",,3F/3F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-22,Thus I resolve,campion_ayres3-4,22_thus_i_resolve,3,SBC,S-,English,SB,Y,,,,,"IT,mP/IT,mP, cut",,2F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-23,"Come, & come my lifes",campion_ayres3-4,23_come_come,3,SBC,S-,English,SB,Y,hemiola,,,,"IT,mP,cut/IT,mP",,1F/2F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-24,Could my heart more,campion_ayres3-4,24_could_my_heart,3,SBC,S-,English,SB,Y,,,,,"IT,mP/IT,mP, cut",,1F/1F
The Third and Fourth Book of Ayres,1617,"Campion, Thomas",3-25,Sleepe angry beautie,campion_ayres3-4,25_sleepe_angry,3,SBC,S-,English,SB,Y,,,,,"IT,mP,cut/IT,mP",,2F/2F
